id,film_name,revenue_raw,tickets_raw,showtimes_raw,scraped_date,source,revenue_clean,tickets_clean,showtimes_clean
36,Tee Yod 3: Quỷ Ăn Tạng,0,0.0,1.0,2025-11-25,,0,0,1
35,Linh Miêu: Quỷ Nhập Tràng,0,139.0,1.0,2025-11-25,,0,1390,1
34,Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,0,0.0,5.0,2025-11-25,,0,0,5
33,Paddington: Gấu Thủ Chu Du,0,0.0,7.0,2025-11-25,,0,0,7
32,100 Mét,0,0.0,1.0,2025-11-25,,0,0,1
31,Bẫy Tiền,50.000,1.0,132.0,2025-11-25,,50000,10,132
30,Trái Tim Què Quặt,110.000,2.0,1.0,2025-11-25,,110000,20,1
29,Tôi Thấy Hoa Vàng Trên Cỏ Xanh,165.000,3.0,3.0,2025-11-25,,165000,30,3
28,Bịt Mắt Bắt Nai,245.000,5.0,2.0,2025-11-25,,245000,50,2
27,Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,260.000,2.0,5.0,2025-11-25,,260000,20,5
26,Thần Dược,590.000,9.0,7.0,2025-11-25,,590000,90,7
25,Bẫy Hồi Sinh,597.000,7.0,20.0,2025-11-25,,597000,70,20
24,Thai Chiêu Tài,680.000,10.0,4.0,2025-11-25,,680000,100,4
23,Thanh Gươm Diệt Quỷ: Vô Hạn Thành,735.000,10.0,1.0,2025-11-25,,735000,100,1
22,Cục Vàng Của Ngoại,853.000,10.0,6.0,2025-11-25,,853000,100,6
21,Gió Vẫn Thổi,962.499,9.0,4.0,2025-11-25,,962499,90,4
20,Godzilla Trừ Một,1.300.078,11.0,22.0,2025-11-25,,1300078,110,22
19,KHI TA YÊU,2.614.000,33.0,45.0,2025-11-25,,2614000,330,45
18,Oán Hồn Trong Vali,2.650.000,35.0,51.0,2025-11-25,,2650000,350,51
17,Mộ Đom Đóm,3.228.000,34.0,9.0,2025-11-25,,3228000,340,9
16,Cải Mả,3.284.000,69.0,10.0,2025-11-25,,3284000,690,10
15,Chainsaw Man - The Movie: Chương Reze,3.774.725,26.0,6.0,2025-11-25,,3774725,260,6
14,Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,6.153.166,76.0,35.0,2025-11-25,,6153166,760,35
13,Trốn Chạy Tử Thần,8.921.706,81.0,91.0,2025-11-25,,8921706,810,91
12,Không Bông Tuyết Nào Trong Sạch,9.977.512,97.0,66.0,2025-11-25,,9977512,970,66
11,Kỳ An Nghỉ,12.828.715,155.0,186.0,2025-11-25,,12828715,1550,186
10,Tafiti Náo Loạn Sa Mạc,16.644.968,231.0,226.0,2025-11-25,,16644968,2310,226
9,Núi Tế Vong,22.125.068,368.0,127.0,2025-11-25,,22125068,3680,127
8,Quái Thú Vô Hình: Vùng Đất Chết Chóc,23.454.045,261.0,147.0,2025-11-25,,23454045,2610,147
7,G-Dragon In Cinema: Übermensch,23.454.999,147.0,13.0,2025-11-25,,23454999,1470,13
6,Sư Thầy Gặp Siêu Lầy,24.703.586,289.0,126.0,2025-11-25,,24703586,2890,126
5,Lọ Lem Chơi Ngải,31.792.892,572.0,76.0,2025-11-25,,31792892,5720,76
4,Wicked 2: For Good,125.058.323,1.155,652.0,2025-11-25,,125058323,1155,652
3,Anh Trai Say Xe,337.716.723,4.654,1.12,2025-11-25,,337716723,4654,1
2,Cưới Vợ Cho Cha,398.326.160,6.326,817.0,2025-11-25,,398326160,6326,817
1,Truy Tìm Long Diên Hương,3.073.176.132,44.459,4.196,2025-11-25,,3073176132,44459,4196
