id,film_name,revenue_raw,tickets_raw,showtimes_raw,scraped_date,source,revenue_clean,tickets_clean,showtimes_clean
36,Paddington: Gấu Thủ Chu Du,0,0.0,7.0,2025-11-23,,0,0,7
35,Thám Tử Kiên: Kỳ Án Không Đầu,0,139.0,1.0,2025-11-23,,0,1390,1
34,Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,0,0.0,1.0,2025-11-23,,0,0,1
33,Thai Chiêu Tài,150.000,2.0,5.0,2025-11-23,,150000,20,5
32,Trái Tim Què Quặt,295.000,3.0,2.0,2025-11-23,,295000,30,2
31,Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,525.000,7.0,5.0,2025-11-23,,525000,70,5
30,Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1.105.000,10.0,1.0,2025-11-23,,1105000,100,1
29,Bịt Mắt Bắt Nai,1.240.000,15.0,4.0,2025-11-23,,1240000,150,4
28,Tee Yod 3: Quỷ Ăn Tạng,1.435.995,11.0,1.0,2025-11-23,,1435995,110,1
27,Thần Dược,1.460.000,16.0,7.0,2025-11-23,,1460000,160,7
26,Bẫy Tiền,3.717.710,46.0,461.0,2025-11-23,,3717710,460,461
25,Mộ Đom Đóm,3.768.700,35.0,9.0,2025-11-23,,3768700,350,9
24,Tôi Thấy Hoa Vàng Trên Cỏ Xanh,4.250.000,74.0,4.0,2025-11-23,,4250000,740,4
23,KHI TA YÊU,4.576.000,57.0,50.0,2025-11-23,,4576000,570,50
22,Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,6.174.000,86.0,39.0,2025-11-23,,6174000,860,39
21,Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,6.494.400,71.0,14.0,2025-11-23,,6494400,710,14
20,Chainsaw Man - The Movie: Chương Reze,7.090.995,44.0,5.0,2025-11-23,,7090995,440,5
19,Oán Hồn Trong Vali,7.768.000,79.0,50.0,2025-11-23,,7768000,790,50
18,Gió Vẫn Thổi,7.810.829,59.0,4.0,2025-11-23,,7810829,590,4
17,Cục Vàng Của Ngoại,8.082.497,76.0,8.0,2025-11-23,,8082497,760,8
16,Cải Mả,8.275.000,119.0,13.0,2025-11-23,,8275000,1190,13
15,Bẫy Hồi Sinh,8.960.000,84.0,28.0,2025-11-23,,8960000,840,28
14,Godzilla Trừ Một,12.671.712,106.0,26.0,2025-11-23,,12671712,1060,26
13,Không Bông Tuyết Nào Trong Sạch,17.076.458,138.0,67.0,2025-11-23,,17076458,1380,67
12,Trốn Chạy Tử Thần,18.788.988,140.0,107.0,2025-11-23,,18788988,1400,107
11,Kỳ An Nghỉ,24.381.863,226.0,207.0,2025-11-23,,24381863,2260,207
10,Núi Tế Vong,40.095.506,571.0,148.0,2025-11-23,,40095506,5710,148
9,Lọ Lem Chơi Ngải,40.816.168,498.0,80.0,2025-11-23,,40816168,4980,80
8,Sư Thầy Gặp Siêu Lầy,41.649.574,437.0,125.0,2025-11-23,,41649574,4370,125
7,G-Dragon In Cinema: Übermensch,47.165.112,223.0,19.0,2025-11-23,,47165112,2230,19
6,Quái Thú Vô Hình: Vùng Đất Chết Chóc,52.484.991,449.0,178.0,2025-11-23,,52484991,4490,178
5,Tafiti Náo Loạn Sa Mạc,277.272.028,2.521,392.0,2025-11-23,,277272028,2521,392
4,Cưới Vợ Cho Cha,401.105.407,4.654,827.0,2025-11-23,,401105407,4654,827
3,Wicked 2: For Good,500.018.379,3.714,756.0,2025-11-23,,500018379,3714,756
2,Anh Trai Say Xe,513.754.622,5.361,1.257,2025-11-23,,513754622,5361,1257
1,Truy Tìm Long Diên Hương,5.227.828.363,56.872,4.375,2025-11-23,,5227828363,56872,4375
