id,film_name,revenue_raw,tickets_raw,showtimes_raw,scraped_date,source,revenue_clean,tickets_clean,showtimes_clean
38,Tử Chiến Trên Không,0,139.0,2.0,2025-11-24,,0,1390,2
37,Mưa Đỏ,0,202.0,1.0,2025-11-24,,0,2020,1
36,Bẫy Tiền,0,0.0,108.0,2025-11-24,,0,0,108
35,Quỷ Cẩu,0,139.0,1.0,2025-11-24,,0,1390,1
34,Paddington: Gấu Thủ Chu Du,150.000,1.0,7.0,2025-11-24,,150000,10,7
33,Thai Chiêu Tài,280.000,4.0,5.0,2025-11-24,,280000,40,5
32,Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,450.000,7.0,5.0,2025-11-24,,450000,70,5
31,Trái Tim Què Quặt,560.000,6.0,1.0,2025-11-24,,560000,60,1
30,Tee Yod 3: Quỷ Ăn Tạng,572.000,7.0,1.0,2025-11-24,,572000,70,1
29,Thần Dược,650.000,16.0,7.0,2025-11-24,,650000,160,7
28,Bịt Mắt Bắt Nai,685.000,11.0,3.0,2025-11-24,,685000,110,3
27,Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,826.000,14.0,5.0,2025-11-24,,826000,140,5
26,Cục Vàng Của Ngoại,1.204.400,16.0,5.0,2025-11-24,,1204400,160,5
25,Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1.566.000,12.0,1.0,2025-11-24,,1566000,120,1
24,Tôi Thấy Hoa Vàng Trên Cỏ Xanh,2.220.000,43.0,3.0,2025-11-24,,2220000,430,3
23,Oán Hồn Trong Vali,2.410.000,32.0,51.0,2025-11-24,,2410000,320,51
22,KHI TA YÊU,2.553.000,31.0,46.0,2025-11-24,,2553000,310,46
21,Gió Vẫn Thổi,2.759.000,31.0,4.0,2025-11-24,,2759000,310,4
20,Mộ Đom Đóm,3.005.000,49.0,9.0,2025-11-24,,3005000,490,9
19,Cải Mả,6.210.000,123.0,10.0,2025-11-24,,6210000,1230,10
18,Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,6.445.500,106.0,34.0,2025-11-24,,6445500,1060,34
17,Chainsaw Man - The Movie: Chương Reze,6.786.000,69.0,5.0,2025-11-24,,6786000,690,5
16,Godzilla Trừ Một,8.175.182,111.0,23.0,2025-11-24,,8175182,1110,23
15,Bẫy Hồi Sinh,9.305.000,150.0,21.0,2025-11-24,,9305000,1500,21
14,100 Mét,12.000.000,120.0,1.0,2025-11-24,,12000000,1200,1
13,Trốn Chạy Tử Thần,19.955.932,238.0,92.0,2025-11-24,,19955932,2380,92
12,Kỳ An Nghỉ,19.979.326,268.0,184.0,2025-11-24,,19979326,2680,184
11,Không Bông Tuyết Nào Trong Sạch,21.664.530,249.0,63.0,2025-11-24,,21664530,2490,63
10,G-Dragon In Cinema: Übermensch,22.262.000,111.0,13.0,2025-11-24,,22262000,1110,13
9,Tafiti Náo Loạn Sa Mạc,28.675.006,376.0,217.0,2025-11-24,,28675006,3760,217
8,Núi Tế Vong,32.386.336,551.0,125.0,2025-11-24,,32386336,5510,125
7,Lọ Lem Chơi Ngải,39.192.494,700.0,73.0,2025-11-24,,39192494,7000,73
6,Sư Thầy Gặp Siêu Lầy,44.316.732,666.0,130.0,2025-11-24,,44316732,6660,130
5,Quái Thú Vô Hình: Vùng Đất Chết Chóc,52.439.584,624.0,151.0,2025-11-24,,52439584,6240,151
4,Wicked 2: For Good,265.096.551,2.736,673.0,2025-11-24,,265096551,2736,673
3,Cưới Vợ Cho Cha,552.650.272,8.385,785.0,2025-11-24,,552650272,8385,785
2,Anh Trai Say Xe,628.466.331,8.856,1.127,2025-11-24,,628466331,8856,1127
1,Truy Tìm Long Diên Hương,4.817.321.586,67.508,4.056,2025-11-24,,4817321586,67508,4056
