movie_name,revenue_vnd,tickets_sold,showtimes,ranking
Truy Tìm Long Diên Hương,34423141019,315909,17444,1
Anh Trai Say Xe,3914839299,35556,6294,2
Wicked 2: For Good,3196917484,20153,3761,3
Cưới Vợ Cho Cha,2489774607,15281,4144,4
Tafiti Náo Loạn Sa Mạc,1623668422,12429,1945,5
Quái Thú Vô Hình: Vùng Đất Chết Chóc,412281507,19537,884,6
Núi Tế Vong,271073660,23636,741,7
Lọ Lem Chơi Ngải,270587216,20953,398,8
Sư Thầy Gặp Siêu Lầy,260876260,26980,626,9
G-Dragon In Cinema: Übermensch,254768448,11900,94,10
Kỳ An Nghỉ,165188845,15460,1051,11
Không Bông Tuyết Nào Trong Sạch,146163377,11660,330,12
Trốn Chạy Tử Thần,133698722,9820,545,13
Godzilla Trừ Một,82956348,6990,130,14
Bẫy Hồi Sinh,58225000,5520,139,15
Oán Hồn Trong Vali,49008000,4910,255,16
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,45166600,5210,69,17
Gió Vẫn Thổi,43015316,3340,19,18
Cải Mả,42328000,5900,61,19
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,40032000,5340,198,20
Chainsaw Man - The Movie: Chương Reze,38234980,2430,25,21
Cục Vàng Của Ngoại,34342936,3240,37,22
Bẫy Tiền,28063852,3040,2406,23
KHI TA YÊU,25906000,3140,254,24
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,23295000,4010,20,25
Mộ Đom Đóm,20369300,1870,46,26
Mùi Cỏ Cháy,13805000,2400,3,27
Thần Dược,7900000,930,34,28
Tee Yod 3: Quỷ Ăn Tạng,7618980,580,5,29
Bịt Mắt Bắt Nai,5610000,680,19,30
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,5520000,620,5,31
Thai Chiêu Tài,2850000,340,27,32
Trái Tim Què Quặt,2780000,280,12,33
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,1585000,240,28,34
Onoda - 10.000 Đêm Trong Rừng,1340000,190,2,35
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,1279000,190,6,36
Paddington: Gấu Thủ Chu Du,300000,20,35,37
100 Mét,0,0,2,38
Công Tử Bạc Liêu,0,1300,1,39
Thám Tử Kiên: Kỳ Án Không Đầu,0,5560,4,40
