movie_name,revenue_vnd,tickets_sold,showtimes,ranking
Truy Tìm Long Diên Hương,39240462605,383417,21500,1
Anh Trai Say Xe,4543305630,44412,7421,2
Wicked 2: For Good,3462014035,22889,4434,3
Cưới Vợ Cho Cha,3042424879,23666,4929,4
Tafiti Náo Loạn Sa Mạc,1652343428,16189,2162,5
Quái Thú Vô Hình: Vùng Đất Chết Chóc,464721091,25777,1035,6
Lọ Lem Chơi Ngải,309779710,27953,471,7
Sư Thầy Gặp Siêu Lầy,305192992,33640,756,8
Núi Tế Vong,303459996,29146,866,9
G-Dragon In Cinema: Übermensch,277030448,13010,107,10
Kỳ An Nghỉ,185168171,18140,1235,11
Không Bông Tuyết Nào Trong Sạch,167827907,14150,393,12
Trốn Chạy Tử Thần,153654654,12200,637,13
Godzilla Trừ Một,91131530,8100,153,14
Bẫy Hồi Sinh,67530000,7020,160,15
Oán Hồn Trong Vali,51418000,5230,306,16
Cải Mả,48538000,7130,71,17
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,46477500,6400,232,18
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,45992600,5350,74,19
Gió Vẫn Thổi,45774316,3650,23,20
Chainsaw Man - The Movie: Chương Reze,45020980,3120,30,21
Cục Vàng Của Ngoại,35547336,3400,42,22
KHI TA YÊU,28459000,3450,300,23
Bẫy Tiền,28063852,3040,2514,24
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,25515000,4440,23,25
Mộ Đom Đóm,23374300,2360,55,26
Mùi Cỏ Cháy,13805000,2400,3,27
100 Mét,12000000,1200,3,28
Thần Dược,8550000,1090,41,29
Tee Yod 3: Quỷ Ăn Tạng,8190980,650,6,30
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,7086000,740,6,31
Bịt Mắt Bắt Nai,6295000,790,22,32
Trái Tim Què Quặt,3340000,340,13,33
Thai Chiêu Tài,3130000,380,32,34
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,2035000,310,33,35
Onoda - 10.000 Đêm Trong Rừng,1340000,190,2,36
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,1279000,190,6,37
Paddington: Gấu Thủ Chu Du,450000,30,42,38
Công Tử Bạc Liêu,0,1300,1,39
Mưa Đỏ,0,2020,1,40
Quỷ Cẩu,0,1390,1,41
Thám Tử Kiên: Kỳ Án Không Đầu,0,5560,4,42
Tử Chiến Trên Không,0,1390,2,43
