movie_name,revenue_vnd,tickets_sold,showtimes,ranking
Truy Tìm Long Diên Hương,13822186184,147014,4315,1
Anh Trai Say Xe,1898020998,19213,1269,2
Wicked 2: For Good,1218629258,8748,737,3
Cưới Vợ Cho Cha,912570313,1099,838,4
Tafiti Náo Loạn Sa Mạc,546279700,4801,377,5
Quái Thú Vô Hình: Vùng Đất Chết Chóc,203311543,1677,172,6
Núi Tế Vong,113946636,1486,151,7
Lọ Lem Chơi Ngải,110210364,1493,78,8
Sư Thầy Gặp Siêu Lầy,97365964,9840,126,9
Không Bông Tuyết Nào Trong Sạch,78981545,6220,62,10
Kỳ An Nghỉ,68301393,6480,223,11
G-Dragon In Cinema: Übermensch,66860000,3020,18,12
Trốn Chạy Tử Thần,59091770,4280,117,13
Godzilla Trừ Một,34713500,2930,26,14
Bẫy Hồi Sinh,22385000,2160,27,15
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,19661000,2410,13,16
Oán Hồn Trong Vali,17936000,1750,55,17
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,16053000,2010,42,18
Mùi Cỏ Cháy,13805000,2400,3,19
Bẫy Tiền,13193012,1200,562,20
Gió Vẫn Thổi,12039000,1020,3,21
Cải Mả,10098000,1260,9,22
Chainsaw Man - The Movie: Chương Reze,9871000,670,5,23
KHI TA YÊU,7602000,860,54,24
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,6295000,1050,4,25
Mộ Đom Đóm,5745500,510,10,26
Cục Vàng Của Ngoại,5684000,510,5,27
Thai Chiêu Tài,2250000,260,7,28
Thần Dược,2060000,290,6,29
Tee Yod 3: Quỷ Ăn Tạng,1875000,140,1,30
Trái Tim Què Quặt,1600000,160,4,31
Onoda - 10.000 Đêm Trong Rừng,1340000,190,2,32
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,1279000,190,2,33
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1100000,220,1,34
Bịt Mắt Bắt Nai,650000,80,3,35
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,310000,70,8,36
Paddington: Gấu Thủ Chu Du,300000,20,7,37
Công Tử Bạc Liêu,0,1300,1,38
100 Mét,0,0,2,39
