Tên phim,Doanh thu,Vé,Suất chiếu
Truy Tìm Long Diên Hương,13.822.186.184,147.014,4.315
Anh Trai Say Xe,1.898.020.998,19.213,1.269
Wicked 2: For Good,1.218.629.258,8.748,737
Cưới Vợ Cho Cha,912.570.313,10.990,838
Tafiti Náo Loạn Sa Mạc,546.279.700,4.801,377
Quái Thú Vô Hình: Vùng Đất Chết Chóc,203.311.543,1.677,172
Núi Tế Vong,113.946.636,1.486,151
Lọ Lem Chơi Ngải,110.210.364,1.493,78
Sư Thầy Gặp Siêu Lầy,97.365.964,984,126
Không Bông Tuyết Nào Trong Sạch,78.981.545,622,62
Kỳ An Nghỉ,68.301.393,648,223
G-Dragon In Cinema: Übermensch,66.860.000,302,18
Trốn Chạy Tử Thần,59.091.770,428,117
Godzilla Trừ Một,34.713.500,293,26
Bẫy Hồi Sinh,22.385.000,216,27
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,19.661.000,241,13
Oán Hồn Trong Vali,17.936.000,175,55
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,16.053.000,201,42
Mùi Cỏ Cháy,13.805.000,240,3
Bẫy Tiền,13.193.012,120,562
Gió Vẫn Thổi,12.039.000,102,3
Cải Mả,10.098.000,126,9
Chainsaw Man - The Movie: Chương Reze,9.871.000,67,5
KHI TA YÊU,7.602.000,86,54
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,6.295.000,105,4
Mộ Đom Đóm,5.745.500,51,10
Cục Vàng Của Ngoại,5.684.000,51,5
Thai Chiêu Tài,2.250.000,26,7
Thần Dược,2.060.000,29,6
Tee Yod 3: Quỷ Ăn Tạng,1.875.000,14,1
Trái Tim Què Quặt,1.600.000,16,4
Onoda - 10.000 Đêm Trong Rừng,1.340.000,19,2
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,1.279.000,19,2
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1.100.000,22,1
Bịt Mắt Bắt Nai,650.000,8,3
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,310.000,7,8
Paddington: Gấu Thủ Chu Du,300.000,2,7
Công Tử Bạc Liêu,0,130,1
100 Mét,0,0,2
