Tên phim,Doanh thu,Vé,Suất chiếu
Truy Tìm Long Diên Hương,4.817.321.586,67.508,4.056
Anh Trai Say Xe,628.466.331,8.856,1.127
Cưới Vợ Cho Cha,552.650.272,8.385,785
Wicked 2: For Good,265.096.551,2.736,673
Quái Thú Vô Hình: Vùng Đất Chết Chóc,52.439.584,624,151
Sư Thầy Gặp Siêu Lầy,44.316.732,666,130
Lọ Lem Chơi Ngải,39.192.494,700,73
Núi Tế Vong,32.386.336,551,125
Tafiti Náo Loạn Sa Mạc,28.675.006,376,217
G-Dragon In Cinema: Übermensch,22.262.000,111,13
Không Bông Tuyết Nào Trong Sạch,21.664.530,249,63
Kỳ An Nghỉ,19.979.326,268,184
Trốn Chạy Tử Thần,19.955.932,238,92
100 Mét,12.000.000,120,1
Bẫy Hồi Sinh,9.305.000,150,21
Godzilla Trừ Một,8.175.182,111,23
Chainsaw Man - The Movie: Chương Reze,6.786.000,69,5
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,6.445.500,106,34
Cải Mả,6.210.000,123,10
Mộ Đom Đóm,3.005.000,49,9
Gió Vẫn Thổi,2.759.000,31,4
KHI TA YÊU,2.553.000,31,46
Oán Hồn Trong Vali,2.410.000,32,51
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,2.220.000,43,3
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1.566.000,12,1
Cục Vàng Của Ngoại,1.204.400,16,5
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,826.000,14,5
Bịt Mắt Bắt Nai,685.000,11,3
Thần Dược,650.000,16,7
Tee Yod 3: Quỷ Ăn Tạng,572.000,7,1
Trái Tim Què Quặt,560.000,6,1
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,450.000,7,5
Thai Chiêu Tài,280.000,4,5
Paddington: Gấu Thủ Chu Du,150.000,1,7
Quỷ Cẩu,0,139,1
Bẫy Tiền,0,0,108
Mưa Đỏ,0,202,1
Tử Chiến Trên Không,0,139,2
