Tên phim,Doanh thu,Vé,Suất chiếu
G-Dragon In Cinema: Übermensch,655.780.045,4.095,475
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,539.627.714,7.591,1.782
Quái Thú Vô Hình: Vùng Đất Chết Chóc,500.095.111,5.814,1.309
Lọ Lem Chơi Ngải,316.853.081,4.580,756
Cục Vàng Của Ngoại,201.058.804,2.904,740
Godzilla Trừ Một,153.508.611,1.656,623
Cải Mả,139.346.983,2.206,640
Thai Chiêu Tài,85.247.707,1.307,681
Trái Tim Què Quặt,50.226.552,817,289
Mộ Đom Đóm,49.347.027,612,281
Phá Đám Sinh Nhật Mẹ,44.636.750,750,246
Điện Thoại Đen 2,18.600.300,155,126
Nhà Ma Xó,12.207.500,214,82
Tử Chiến Trên Không,11.284.644,151,45
"Mục Sư, Thầy Đồng Và Con Quỷ Âm Trì",7.437.000,99,69
Tee Yod 3: Quỷ Ăn Tạng,6.024.820,69,14
Chainsaw Man - The Movie: Chương Reze,5.854.278,52,16
Gió Vẫn Thổi,4.802.000,49,12
Bịt Mắt Bắt Nai,4.585.000,92,41
Trận Chiến Sau Trận Chiến,2.291.500,20,6
Đêm Nhạc G-Dragon Phiên Bản Điện Ảnh [Siêu Nhân],2.068.000,11,8
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,2.034.300,36,5
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,1.772.000,23,24
Good Boy: Chó Cưng Đừng Sợ,934.000,8,8
"Năm Của Anh, Ngày Của Em",712.200,6,1
Chú Thuật Hồi Chiến: Hoài Ngọc / Ngọc Chiết – The Movie,522.000,7,2
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,506.750,5,15
Phỏng Vấn Sát Nhân,311.000,4,8
Trò Chơi Ảo Giác: Ares,160.000,2,1
Tớ Và Roboco: Siêu Cấp Đa Vũ Trụ,53.000,1,3
Exit 8: Ga Tàu Vô Tận,0,0,1
Ngôi Đền Kỳ Quái 4,0,0,7
Bí Mật Sau Bữa Tiệc,0,0,1
