Tên phim,Doanh thu,Vé,Suất chiếu
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,1.274.362.740,17.292,1.668
Quái Thú Vô Hình: Vùng Đất Chết Chóc,999.107.519,10.809,1.350
Lọ Lem Chơi Ngải,654.326.802,9.423,748
Cục Vàng Của Ngoại,340.939.864,4.587,779
Cải Mả,321.923.876,4.483,702
Godzilla Trừ Một,246.740.508,2.641,707
Thai Chiêu Tài,195.282.721,2.995,771
Mộ Đom Đóm,88.414.750,1.004,297
Phá Đám Sinh Nhật Mẹ,70.065.645,1.122,250
G-Dragon In Cinema: Übermensch,62.248.000,251,1
Trái Tim Què Quặt,58.056.705,835,308
Tử Chiến Trên Không,30.352.878,358,56
Điện Thoại Đen 2,26.937.957,261,137
Nhà Ma Xó,17.595.000,243,83
"Mục Sư, Thầy Đồng Và Con Quỷ Âm Trì",15.399.000,165,75
Tee Yod 3: Quỷ Ăn Tạng,12.900.000,158,18
Chainsaw Man - The Movie: Chương Reze,10.106.000,93,15
Bịt Mắt Bắt Nai,5.441.000,98,45
Gió Vẫn Thổi,5.251.000,59,11
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,5.015.000,57,25
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,3.219.000,50,20
Phỏng Vấn Sát Nhân,2.176.500,21,7
Trận Chiến Sau Trận Chiến,1.678.500,14,6
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1.310.000,25,6
"Năm Của Anh, Ngày Của Em",593.500,5,1
Good Boy: Chó Cưng Đừng Sợ,439.076,4,9
TẤT CẢ VÌ ADAM - K - LHP TÌNH YÊU,150.000,1,7
Chú Thuật Hồi Chiến: Hoài Ngọc / Ngọc Chiết – The Movie,71.000,1,3
Tớ Và Roboco: Siêu Cấp Đa Vũ Trụ,45.000,1,3
Exit 8: Ga Tàu Vô Tận,0,0,1
Bí Mật Sau Bữa Tiệc,0,0,1
