Tên phim,Doanh thu,Vé,Suất chiếu
Truy Tìm Long Diên Hương,10.204.018.035,144.140,4.766
Sư Thầy Gặp Siêu Lầy,249.629.233,2.914,487
Quái Thú Vô Hình: Vùng Đất Chết Chóc,249.085.894,2.561,578
Núi Tế Vong,217.179.942,3.206,564
Lọ Lem Chơi Ngải,157.558.000,2.513,229
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,134.441.980,1.881,431
Không Bông Tuyết Nào Trong Sạch,99.029.196,959,204
Trốn Chạy Tử Thần,89.091.423,798,472
G-Dragon In Cinema: Übermensch,74.598.000,364,227
Godzilla Trừ Một,36.847.802,349,153
Cục Vàng Của Ngoại,34.050.500,437,114
Cải Mả,26.154.566,481,102
Thai Chiêu Tài,14.989.500,233,126
Oán Hồn Trong Vali,12.728.000,181,119
Mộ Đom Đóm,10.064.476,125,33
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,8.902.222,111,104
Tử Chiến Trên Không,7.940.000,108,8
Chainsaw Man - The Movie: Chương Reze,5.383.000,46,7
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,5.038.000,56,18
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,4.383.000,53,10
Trái Tim Què Quặt,3.188.000,59,58
Tee Yod 3: Quỷ Ăn Tạng,3.173.000,44,7
Điện Thoại Đen 2,2.432.000,22,5
Gió Vẫn Thổi,2.385.000,27,5
Mùi Cỏ Cháy,2.175.000,41,7
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,800.000,16,3
Nhà Ma Xó,550.000,10,2
Chú Thuật Hồi Chiến: Hoài Ngọc / Ngọc Chiết – The Movie,493.000,7,1
Tớ Và Roboco: Siêu Cấp Đa Vũ Trụ,464.000,2,2
Phỏng Vấn Sát Nhân,442.000,4,2
Bịt Mắt Bắt Nai,370.000,10,2
Exit 8: Ga Tàu Vô Tận,0,0,1
Phá Đám Sinh Nhật Mẹ,0,0,1
Những Người Viết Huyền Thoại,0,0,1
Vua Khủng Long: Phiêu Lưu Đến Vùng Núi Lửa,0,0,7
MƯA ĐỎ- T13- LHP VIỆT NAM,0,0,2
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,0,0,8
"Mục Sư, Thầy Đồng Và Con Quỷ Âm Trì",0,0,1
Mưa Đỏ,0,0,2
