Tên phim,Doanh thu,Vé,Suất chiếu
Truy Tìm Long Diên Hương,2.017.539.351,24.077,4.438
Anh Trai Say Xe,143.827.440,1.472,408
Quái Thú Vô Hình: Vùng Đất Chết Chóc,45.535.384,425,541
Lọ Lem Chơi Ngải,37.704.994,581,226
Núi Tế Vong,35.990.377,478,509
Sư Thầy Gặp Siêu Lầy,35.289.243,348,482
Không Bông Tuyết Nào Trong Sạch,29.288.931,262,177
G-Dragon In Cinema: Übermensch,28.618.446,179,180
Trốn Chạy Tử Thần,19.535.765,164,423
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,18.124.076,219,380
Cục Vàng Của Ngoại,10.892.106,122,103
Cải Mả,7.958.600,129,79
Godzilla Trừ Một,5.647.598,55,141
Chainsaw Man - The Movie: Chương Reze,4.727.557,36,8
Mộ Đom Đóm,4.170.026,55,33
Thai Chiêu Tài,2.741.626,40,115
Gió Vẫn Thổi,2.730.699,22,7
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,2.118.311,23,88
Tee Yod 3: Quỷ Ăn Tạng,1.560.714,25,6
Điện Thoại Đen 2,1.386.083,11,7
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1.349.942,14,5
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,1.255.000,12,21
Oán Hồn Trong Vali,838.000,13,92
Trái Tim Què Quặt,485.000,10,56
Mùi Cỏ Cháy,200.000,4,5
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,0,0,8
Phá Đám Sinh Nhật Mẹ,0,0,1
Vua Khủng Long: Phiêu Lưu Đến Vùng Núi Lửa,0,0,7
Nhà Ma Xó,0,0,2
Phỏng Vấn Sát Nhân,0,0,1
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,0,0,2
Chú Thuật Hồi Chiến: Hoài Ngọc / Ngọc Chiết – The Movie,0,0,1
Khoảnh Khắc Cuộc Sống,0,0,1
Mưa Đỏ,0,0,1
Tớ Và Roboco: Siêu Cấp Đa Vũ Trụ,0,0,1
Tử Chiến Trên Không,0,0,5
Exit 8: Ga Tàu Vô Tận,0,0,1
"Mục Sư, Thầy Đồng Và Con Quỷ Âm Trì",0,0,1
Cinema Renting,0,0,5
