Tên phim,Doanh thu,Vé,Suất chiếu
Truy Tìm Long Diên Hương,5.227.828.363,56.872,4.375
Anh Trai Say Xe,513.754.622,5.361,1.257
Wicked 2: For Good,500.018.379,3.714,756
Cưới Vợ Cho Cha,401.105.407,4.654,827
Tafiti Náo Loạn Sa Mạc,277.272.028,2.521,392
Quái Thú Vô Hình: Vùng Đất Chết Chóc,52.484.991,449,178
G-Dragon In Cinema: Übermensch,47.165.112,223,19
Sư Thầy Gặp Siêu Lầy,41.649.574,437,125
Lọ Lem Chơi Ngải,40.816.168,498,80
Núi Tế Vong,40.095.506,571,148
Kỳ An Nghỉ,24.381.863,226,207
Trốn Chạy Tử Thần,18.788.988,140,107
Không Bông Tuyết Nào Trong Sạch,17.076.458,138,67
Godzilla Trừ Một,12.671.712,106,26
Bẫy Hồi Sinh,8.960.000,84,28
Cải Mả,8.275.000,119,13
Cục Vàng Của Ngoại,8.082.497,76,8
Gió Vẫn Thổi,7.810.829,59,4
Oán Hồn Trong Vali,7.768.000,79,50
Chainsaw Man - The Movie: Chương Reze,7.090.995,44,5
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,6.494.400,71,14
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,6.174.000,86,39
KHI TA YÊU,4.576.000,57,50
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,4.250.000,74,4
Mộ Đom Đóm,3.768.700,35,9
Bẫy Tiền,3.717.710,46,461
Thần Dược,1.460.000,16,7
Tee Yod 3: Quỷ Ăn Tạng,1.435.995,11,1
Bịt Mắt Bắt Nai,1.240.000,15,4
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1.105.000,10,1
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,525.000,7,5
Trái Tim Què Quặt,295.000,3,2
Thai Chiêu Tài,150.000,2,5
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,0,0,1
Thám Tử Kiên: Kỳ Án Không Đầu,0,139,1
Paddington: Gấu Thủ Chu Du,0,0,7
