Tên phim,Doanh thu,Vé,Suất chiếu
Truy Tìm Long Diên Hương,3.819.369.533,55.980,4.281
Quái Thú Vô Hình: Vùng Đất Chết Chóc,116.236.924,1.284,599
Sư Thầy Gặp Siêu Lầy,91.011.669,1.163,483
Núi Tế Vong,83.351.745,1.246,582
Lọ Lem Chơi Ngải,66.614.379,1.149,248
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,59.314.482,915,450
G-Dragon In Cinema: Übermensch,51.974.169,302,236
Trốn Chạy Tử Thần,44.846.844,424,465
Không Bông Tuyết Nào Trong Sạch,33.266.832,373,195
Cục Vàng Của Ngoại,21.433.808,298,120
Cải Mả,15.755.596,283,98
Godzilla Trừ Một,13.959.024,140,153
Thai Chiêu Tài,8.854.875,149,130
Mộ Đom Đóm,8.465.244,101,32
Oán Hồn Trong Vali,6.295.000,106,115
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,5.774.500,77,111
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,4.932.706,76,9
Trái Tim Què Quặt,3.294.000,39,57
Phá Đám Sinh Nhật Mẹ,3.019.000,51,14
Tee Yod 3: Quỷ Ăn Tạng,2.934.500,31,5
Chainsaw Man - The Movie: Chương Reze,2.144.500,24,6
Tử Chiến Trên Không,2.025.000,27,13
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,1.987.888,20,15
Mùi Cỏ Cháy,1.265.000,24,9
Gió Vẫn Thổi,979.000,11,4
Điện Thoại Đen 2,927.000,7,5
Bịt Mắt Bắt Nai,570.000,10,4
"Mục Sư, Thầy Đồng Và Con Quỷ Âm Trì",210.000,2,1
Chú Thuật Hồi Chiến: Hoài Ngọc / Ngọc Chiết – The Movie,135.000,3,1
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,50.000,1,3
Mưa Đỏ,0,0,2
Nhà Tiên Tri,0,0,1
Vua Khủng Long: Phiêu Lưu Đến Vùng Núi Lửa,0,0,7
TRUYỀN THUYẾT QUÁN TIÊN- T16- LHP VIỆT NAM,0,0,3
Tớ Và Roboco: Siêu Cấp Đa Vũ Trụ,0,0,2
Phỏng Vấn Sát Nhân,0,0,1
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,0,0,3
Nhà Ma Xó,0,0,3
Exit 8: Ga Tàu Vô Tận,0,0,1
