Tên phim,Doanh thu,Vé,Suất chiếu
Truy Tìm Long Diên Hương,540.618.872,6.811,2.359
G-Dragon In Cinema: Übermensch,190.680.804,1.213,476
Quái Thú Vô Hình: Vùng Đất Chết Chóc,166.183.441,1.643,1.035
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,133.517.247,1.744,1.489
Lọ Lem Chơi Ngải,104.952.934,1.450,662
Godzilla Trừ Một,48.500.108,435,535
Cục Vàng Của Ngoại,39.681.885,542,467
Núi Tế Vong,38.463.327,405,250
Mộ Đom Đóm,30.512.401,324,203
Cải Mả,30.178.051,445,391
Phá Đám Sinh Nhật Mẹ,14.315.848,150,165
Thai Chiêu Tài,10.389.169,152,494
Tử Chiến Trên Không,8.173.290,114,43
Chainsaw Man - The Movie: Chương Reze,6.681.659,57,17
Trái Tim Què Quặt,6.585.542,87,195
Điện Thoại Đen 2,6.469.536,53,107
Núi Tế Vong,3.160.000,39,25
Gió Vẫn Thổi,2.702.500,29,12
Nhà Ma Xó,2.209.000,29,46
"Mục Sư, Thầy Đồng Và Con Quỷ Âm Trì",1.868.000,19,46
Bịt Mắt Bắt Nai,1.833.000,32,28
Tee Yod 3: Quỷ Ăn Tạng,1.824.400,18,15
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1.233.500,15,11
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,1.137.000,12,18
Trận Chiến Sau Trận Chiến,1.000.000,4,5
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,394.500,4,17
Exit 8: Ga Tàu Vô Tận,283.142,2,2
Phỏng Vấn Sát Nhân,241.666,2,5
Chú Thuật Hồi Chiến: Hoài Ngọc / Ngọc Chiết – The Movie,0,0,2
Good Boy: Chó Cưng Đừng Sợ,0,0,5
Bí Mật Sau Bữa Tiệc,0,0,1
Hành Trình Kỳ Diệu Của Marona,0,0,1
"Năm Của Anh, Ngày Của Em",0,0,1
Tớ Và Roboco: Siêu Cấp Đa Vũ Trụ,0,0,2
